,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,22,7,9,12,4,1,1,4,1,27,0,39,39,0
1,33,6,9,12,2,4,0,4,1,0,0,12,39,0
2,21,4,11,8,0,6,1,4,1,0,0,39,39,0
3,36,4,1,6,2,6,0,2,1,0,0,39,39,0
4,11,4,9,12,2,10,5,2,0,0,0,39,5,0
5,20,4,12,13,2,4,5,4,0,0,0,39,39,0
6,32,4,6,4,3,8,1,2,0,0,0,15,23,0
7,35,6,11,8,2,4,0,4,1,0,0,44,39,1
8,14,4,12,13,4,10,1,4,0,108,0,49,39,1
9,25,4,9,12,2,4,0,4,1,81,0,39,39,1
10,20,4,15,9,2,4,0,2,1,0,0,78,39,1
11,13,7,9,12,2,10,0,1,1,0,0,39,19,1
12,6,4,9,12,4,1,3,4,0,0,0,29,39,0
13,15,4,7,11,4,12,1,2,1,0,0,49,39,0
14,23,4,8,10,2,3,0,1,1,0,0,39,0,1
15,17,4,5,3,2,14,0,0,1,0,0,44,26,0
16,8,6,11,8,4,5,3,4,1,0,0,34,39,0
17,15,4,11,8,4,7,4,4,1,0,0,39,39,0
18,21,4,1,6,2,12,0,4,1,0,0,49,39,0
19,26,6,12,13,0,4,4,4,0,0,0,44,39,1
20,23,4,10,15,2,10,0,4,1,0,0,59,39,1
21,37,4,11,8,5,8,4,2,0,0,0,19,39,0
22,18,1,6,4,2,5,0,2,1,0,0,39,39,0
23,26,4,1,6,2,14,0,4,1,0,59,39,39,0
24,42,4,11,8,0,13,4,4,0,0,0,39,39,0
25,39,2,9,12,2,13,0,4,1,0,0,39,39,1
26,2,4,11,8,4,3,3,4,1,0,0,39,39,0
27,37,0,15,9,2,0,0,1,1,0,0,59,35,1
28,22,4,11,8,0,4,1,4,1,0,0,78,39,0
29,32,4,11,8,2,3,0,4,1,0,0,39,39,0
30,6,2,7,11,4,11,1,4,1,0,0,51,39,0
31,3,4,15,9,4,12,3,2,1,0,0,43,39,0
32,28,4,9,12,0,4,3,4,1,0,15,39,39,0
33,13,1,15,9,2,1,3,4,1,0,0,39,39,0
34,5,7,15,9,2,8,0,2,1,0,0,14,39,0
35,31,4,1,6,4,7,4,4,1,0,0,39,33,0
36,4,4,15,9,4,7,3,4,1,0,0,39,39,0
37,2,4,11,8,1,1,5,4,0,0,0,24,39,0
38,14,4,15,9,2,12,0,4,1,0,0,37,0,1
39,31,6,7,11,2,10,0,4,1,0,0,39,39,0
40,14,4,6,4,2,7,0,4,1,0,0,42,39,0
41,36,6,9,12,2,10,0,4,1,0,0,39,39,0
42,7,4,9,12,2,13,0,4,1,0,0,49,39,0
43,32,4,11,8,5,1,4,4,0,0,0,39,39,0
44,8,4,11,8,4,6,1,4,1,0,0,34,39,0
45,40,1,9,12,2,10,0,2,1,0,0,39,39,1
46,36,4,11,8,2,7,0,4,1,0,0,37,39,0
47,27,4,12,13,0,4,4,4,0,0,0,39,39,0
48,24,7,8,10,2,3,0,4,1,0,0,39,39,0
49,12,4,8,10,4,10,1,4,1,0,0,42,39,0
50,8,4,15,9,2,4,5,3,0,0,0,39,39,0
51,1,4,11,8,4,8,3,4,0,0,0,29,0,0
52,30,4,14,14,2,10,5,4,0,0,51,59,16,1
53,33,1,9,12,0,4,1,4,1,0,0,54,39,1
54,30,5,11,8,0,4,1,4,1,0,0,59,39,0
55,26,4,15,9,2,13,0,4,1,0,0,39,39,1
56,29,4,4,2,2,7,0,4,1,0,0,39,26,0
57,18,4,8,10,2,8,0,4,1,0,0,39,33,0
58,24,4,11,8,2,1,0,4,1,0,0,47,39,0
59,13,4,11,8,2,7,0,4,1,79,0,39,39,0
60,13,4,9,12,2,12,0,4,1,36,0,39,39,0
61,15,0,5,3,3,0,1,4,1,0,0,39,0,0
62,31,4,11,8,2,14,0,4,1,0,0,39,39,0
63,25,4,10,15,2,10,0,4,1,0,0,44,39,1
64,12,4,15,9,0,13,1,4,1,0,0,57,39,0
65,19,4,11,8,2,3,0,4,1,0,0,39,39,0
66,11,4,15,9,0,1,1,4,0,0,0,39,39,0
67,36,4,11,8,2,1,5,4,0,0,0,39,39,1
68,32,5,15,9,2,4,0,4,1,0,0,49,39,1
69,8,0,15,9,4,0,3,4,1,0,0,39,39,0
70,2,4,15,9,4,10,3,4,1,0,0,31,39,0
71,14,4,9,12,5,12,3,2,0,0,0,39,39,0
72,12,6,9,12,2,12,0,4,1,0,0,69,39,1
